id,_name<jpn>,name<eng>,_ruby<jpn>,ruby<eng>,_description<jpn>,description<eng>
hammer02,鉄パイプ,<PLEASE_TRANSLATE>,てつぱいぷ,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
hammer03,バール,<PLEASE_TRANSLATE>,ばーる,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
hammer04,ガラスの破片,<PLEASE_TRANSLATE>,がらすのはへん,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。,<PLEASE_TRANSLATE>
hammer05,包丁,<PLEASE_TRANSLATE>,ほうちょう,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。,<PLEASE_TRANSLATE>
hammer06,お手製の槍,<PLEASE_TRANSLATE>,おてせいのやり,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1}<br>包丁と木の棒でつくった、お手製の槍。,<PLEASE_TRANSLATE>
hammer07,穴のあいたフライパン,<PLEASE_TRANSLATE>,あなのあいたふらいぱん,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1}<br>穴があいてしまったフライパン。料理には使えないけれど、ちょうどいい重さで、武器になりそう。,<PLEASE_TRANSLATE>
hammer08,ゴルフクラブ,<PLEASE_TRANSLATE>,ごるふくらぶ,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1},<PLEASE_TRANSLATE>
hammer09,お手製スラッパー,<PLEASE_TRANSLATE>,おてせいすらっぱー,<PLEASE_TRANSLATE>,近接武器。装備して使う。攻撃 + {0} + {1}<br>先端に重りの入ったこん棒。,<PLEASE_TRANSLATE>
-,,,,,,
ammo00,ハンドガンの弾,<PLEASE_TRANSLATE>,はんどがんのたま,<PLEASE_TRANSLATE>,「ハンドガン」で使う弾薬。,<PLEASE_TRANSLATE>
ammo01,ショットガンの弾,<PLEASE_TRANSLATE>,しょっとがんのたま,<PLEASE_TRANSLATE>,「ショットガン」で使う弾薬。,<PLEASE_TRANSLATE>
ammo02,ライフルの弾,<PLEASE_TRANSLATE>,らいふるのたま,<PLEASE_TRANSLATE>,「ライフル」で使う弾薬。,<PLEASE_TRANSLATE>
ammo03,マガジン,<PLEASE_TRANSLATE>,まがしん,<PLEASE_TRANSLATE>,「サブマシンガン」で使う弾薬。,<PLEASE_TRANSLATE>
-,,,,,,
armor00,軍手,<PLEASE_TRANSLATE>,ぐんて,<PLEASE_TRANSLATE>,防具。装備して使う。防御 + {0} + {1},<PLEASE_TRANSLATE>
armor01,甲手,<PLEASE_TRANSLATE>,こて,<PLEASE_TRANSLATE>,防具。装備して使う。防御 + {0} + {1},<PLEASE_TRANSLATE>
armor02,防弾ベスト,<PLEASE_TRANSLATE>,ぼうだんべすと,<PLEASE_TRANSLATE>,防具。装備して使う。防御 + {0} + {1},<PLEASE_TRANSLATE>
armor100,サンタのワンピース,<PLEASE_TRANSLATE>,さんたのわんぴーす,<PLEASE_TRANSLATE>,防具。装備して使う。防御 + {0}<br>サンタクロースをモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）,<PLEASE_TRANSLATE>
armor101,小悪魔なワンピース,<PLEASE_TRANSLATE>,こあくまなわんぴーす,<PLEASE_TRANSLATE>,防具。装備して使う。防御 + {0}<br>小悪魔をモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）,<PLEASE_TRANSLATE>
-,,,,,,
material00,木材,<PLEASE_TRANSLATE>,もくざい,<PLEASE_TRANSLATE>,捨てられていた木材。何かの材料になるかも。,<PLEASE_TRANSLATE>
material01,鉄くず,<PLEASE_TRANSLATE>,てつくず,<PLEASE_TRANSLATE>,捨てられていた鉄くず。何かの材料になるかも。,<PLEASE_TRANSLATE>
material02,布切れ,<PLEASE_TRANSLATE>,ぬのきれ,<PLEASE_TRANSLATE>,捨てられていた布切れ。何かの材料になるかも。,<PLEASE_TRANSLATE>
material03,電子部品,<PLEASE_TRANSLATE>,でんしぶひん,<PLEASE_TRANSLATE>,捨てられていた電子部品。何かの材料になるかも。,<PLEASE_TRANSLATE>
material04,火薬,<PLEASE_TRANSLATE>,かやく,<PLEASE_TRANSLATE>,乾いた火薬。弾薬の材料に使えるかもしれない。,<PLEASE_TRANSLATE>
material11,燃料油,<PLEASE_TRANSLATE>,ねんりょうあぶら,<PLEASE_TRANSLATE>,よく燃える油。このままでは使いようがない。,<PLEASE_TRANSLATE>
material12,細い糸,<PLEASE_TRANSLATE>,ほそいいと,<PLEASE_TRANSLATE>,少し絡まった細い糸。それなりの長さがある。<br>何かに使えるかも。,<PLEASE_TRANSLATE>
material13,ロープ,<PLEASE_TRANSLATE>,ろーぷ,<PLEASE_TRANSLATE>,頑丈なロープ。簡単には千切れない。<br>何かの材料になるかも。,<PLEASE_TRANSLATE>
-,,,,,,
cookingTool00,ダッチオーブン,<PLEASE_TRANSLATE>,だっちおーぶん,<PLEASE_TRANSLATE>,蓋つきの分厚い鍋。ずいぶん使い込まれている。,<PLEASE_TRANSLATE>
cookingTool01,スキレット,<PLEASE_TRANSLATE>,すきれっと,<PLEASE_TRANSLATE>,鋳鉄製の小さなフライパン。,<PLEASE_TRANSLATE>
cookingTool02,ホットサンドメーカー,<PLEASE_TRANSLATE>,ほっとさんどめーかー,<PLEASE_TRANSLATE>,フライパンを向かい合わせに重ねたような構造をした、ホットサンドをつくるための器具。,<PLEASE_TRANSLATE>
-,,,,,,
food00,塩蔵肉の缶詰,<PLEASE_TRANSLATE>,えんぞうにくのかんづめ,<PLEASE_TRANSLATE>,塩漬けにした牛肉の缶詰。貴重なたんぱく源。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food01,コンソメの素,<PLEASE_TRANSLATE>,こんそめのもと,<PLEASE_TRANSLATE>,固形タイプのコンソメスープの素。ちょっと湿気ている。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food02,米,<PLEASE_TRANSLATE>,こめ,<PLEASE_TRANSLATE>,少し古くなった米。でもまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food03,たまご,<PLEASE_TRANSLATE>,たまご,<PLEASE_TRANSLATE>,鶏の卵。たぶんまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food04,ハム,<PLEASE_TRANSLATE>,はむ,<PLEASE_TRANSLATE>,燻製にした豚肉。独特の風味がある。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food05,玉ねぎ,<PLEASE_TRANSLATE>,玉ねぎ,<PLEASE_TRANSLATE>,大きめの玉ねぎ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food06,ライ麦パン,<PLEASE_TRANSLATE>,らいむぎぱん,<PLEASE_TRANSLATE>,ライ麦でつくられた黒パン。ちょっと固い。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food07,小さな魚,<PLEASE_TRANSLATE>,ちいさなさかな,<PLEASE_TRANSLATE>,小さな生魚。食べられそう。<br>使用すると空腹度を1回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food08,スライスチーズ,<PLEASE_TRANSLATE>,すらいすちーず,<PLEASE_TRANSLATE>,薄切りのチーズ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
food09,じゃがいも,<PLEASE_TRANSLATE>,じゃがいも,<PLEASE_TRANSLATE>,まだ土のついた大きなじゃがいも。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,<PLEASE_TRANSLATE>
-,,,,,,
bell00,空き缶,<PLEASE_TRANSLATE>,あきかん,<PLEASE_TRANSLATE>,空っぽの缶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,<PLEASE_TRANSLATE>
bell01,空き瓶,<PLEASE_TRANSLATE>,あきびん,<PLEASE_TRANSLATE>,空っぽの瓶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,<PLEASE_TRANSLATE>
bell02,電子ブザー,<PLEASE_TRANSLATE>,でんしぶざー,<PLEASE_TRANSLATE>,大きな音が鳴る電子ブザー。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,<PLEASE_TRANSLATE>
film00,ポラロイドフィルム,<PLEASE_TRANSLATE>,ぽらろいどふぃるむ,<PLEASE_TRANSLATE>,「ポラロイドカメラ」用のフィルム。,<PLEASE_TRANSLATE>
-,,,,,,
tool00,懐中電灯,<PLEASE_TRANSLATE>,かいちゅうでんとう,<PLEASE_TRANSLATE>,道具。所持して特定のものを調べると、勝手に使ってくれる。<br>懐中電灯の明かりで<red>収納や棚など</red>を調べれば、<red>安全に</red>物資を探し出すことができる。,<PLEASE_TRANSLATE>
tool01,ドライバー,<PLEASE_TRANSLATE>,どらいばー,<PLEASE_TRANSLATE>,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>ネジ</red>で絞められたものを調べると、今まで見つけられなかったものが見つかるかも。,<PLEASE_TRANSLATE>
tool02,キーピック,<PLEASE_TRANSLATE>,きーぴっく,<PLEASE_TRANSLATE>,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>机や台など</red>を調べると、引き出しに取りつけられた単純な鍵なら開けられる。,<PLEASE_TRANSLATE>
tool03,釣り竿,<PLEASE_TRANSLATE>,つりざお,<PLEASE_TRANSLATE>,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>川辺や海辺など</red>を調べると、釣りをすることができる。,<PLEASE_TRANSLATE>
attack00,火炎瓶,<PLEASE_TRANSLATE>,かえんびん,<PLEASE_TRANSLATE>,油を染み込ませた布を入れた瓶。敵に20ダメージを与えることができる。,<PLEASE_TRANSLATE>
attack01,手製爆弾,<PLEASE_TRANSLATE>,てせいばくだん,<PLEASE_TRANSLATE>,火薬とガラス片からつくったお手製の爆弾。敵に20ダメージを与えることができる。,<PLEASE_TRANSLATE>
attack02,閃光発音筒,<PLEASE_TRANSLATE>,せんこうはつおんとう,<PLEASE_TRANSLATE>,爆発音と閃光を放ち、一時的に敵を無力化する。<br>（戦闘中の敵の行動を一時的に止めることができる。また、敵の「溜め」を解放する）,<PLEASE_TRANSLATE>
camera00,ポラロイドカメラ,<PLEASE_TRANSLATE>,ぽらろいどかめら,<PLEASE_TRANSLATE>,撮影するとすぐに現像されるインスタントカメラ。<br>「ポラロイドフィルム」があれば、遠くにある<red>キャンプ地</red>の写真を撮ることができる。,<PLEASE_TRANSLATE>
dismantle00,分解キット,<PLEASE_TRANSLATE>,ぶんかいきっと,<PLEASE_TRANSLATE>,道具を分解するための工具をまとめたキット。<br>道具を<red>クラフト前の材料</red>に戻すことができる。使用すると消費される。,<PLEASE_TRANSLATE>
trap00,くくり罠,<PLEASE_TRANSLATE>,くくりわな,<PLEASE_TRANSLATE>,ロープでつくった簡単な罠。<br>所持して探索に行くと、罠を設置して敵を排除できる。,<PLEASE_TRANSLATE>
trap01,まきびし,<PLEASE_TRANSLATE>,まきびし,<PLEASE_TRANSLATE>,割れたガラスでつくったまきびし。<br>所持して探索に行くと、罠を設置して敵を排除できる。,<PLEASE_TRANSLATE>
craft00,携帯工作台,<PLEASE_TRANSLATE>,けいたいこうさくだい,<PLEASE_TRANSLATE>,小さな工作台。簡易なものだけれど、材料さえあれば道具をつくることができる。<br>（探索中に、所持品から<red>道具</red>を<red>クラフト</red>することができます）,<PLEASE_TRANSLATE>
craft01,携帯調理器,<PLEASE_TRANSLATE>,けいたいちょうりき,<PLEASE_TRANSLATE>,小さな調理台。簡易なものだけれど、材料さえあれば料理することができる。<br>（探索中に、所持品から<red>料理</red>を<red>クラフト</red>することができます）,<PLEASE_TRANSLATE>
-,,,,,,
box00,食材の詰まった箱,<PLEASE_TRANSLATE>,しょくざいのつまったはこ,<PLEASE_TRANSLATE>,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,<PLEASE_TRANSLATE>
box02,鉄の弾薬箱,<PLEASE_TRANSLATE>,てつのだんやくばこ,<PLEASE_TRANSLATE>,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,<PLEASE_TRANSLATE>
box03,中身の見えない黒い袋,<PLEASE_TRANSLATE>,なかみのみえないおもいふくろ,<PLEASE_TRANSLATE>,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,<PLEASE_TRANSLATE>
-,,,,,,
passCode00,数字の書かれたメモ,<PLEASE_TRANSLATE>,すうじのかかれためも,<PLEASE_TRANSLATE>,「{0}」と書かれたメモ。,<PLEASE_TRANSLATE>
postcard00,絵はがき,<PLEASE_TRANSLATE>,えはがき,<PLEASE_TRANSLATE>,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）,<PLEASE_TRANSLATE>
postcard100,カボチャの描かれた絵はがき,<PLEASE_TRANSLATE>,かぼちゃのかかれたえはがき,<PLEASE_TRANSLATE>,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）,<PLEASE_TRANSLATE>
-,,,,,,
music00,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music01,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music02,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music03,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music04,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music05,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music06,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music07,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music08,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
music09,カセットテープ,<PLEASE_TRANSLATE>,かせっとてーぷ,<PLEASE_TRANSLATE>,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,<PLEASE_TRANSLATE>
-,,,,,,
bag00,ショルダーバッグ,<PLEASE_TRANSLATE>,しょるだーばっぐ,<PLEASE_TRANSLATE>,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,<PLEASE_TRANSLATE>
bag01,手づくりナップサック,<PLEASE_TRANSLATE>,てづくりなっぷさっく,<PLEASE_TRANSLATE>,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,<PLEASE_TRANSLATE>
bag02,ボストンバッグ,<PLEASE_TRANSLATE>,ぼすとんばっぐ,<PLEASE_TRANSLATE>,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,<PLEASE_TRANSLATE>
-,,,,,,
map00,食料庫の地図,<PLEASE_TRANSLATE>,しょくりょうこのちず,<PLEASE_TRANSLATE>,「{0}」までの道のりが記された地図。<red>{1}</red>から出発して、<red>{2}件</red>進んだところに{3}があるらしい。<br>（地図を持って探索に向かうと、目的地にたどり着くことができる）<br>（目的地にたどり着くと地図は消費される）,<PLEASE_TRANSLATE>
map01,武器庫の地図,<PLEASE_TRANSLATE>,ぶきこのちず,<PLEASE_TRANSLATE>,「{0}」までの道のりが記された地図。<red>{1}</red>から出発して、<red>{2}件</red>進んだところに{3}があるらしい。<br>（地図を持って探索に向かうと、目的地にたどり着くことができる）<br>（目的地にたどり着くと地図は消費される）,<PLEASE_TRANSLATE>
map02,食料庫の地図,<PLEASE_TRANSLATE>,しょくりょうこのちず,<PLEASE_TRANSLATE>,「{0}」までの道のりが記された地図。<red>{1}</red>から出発して、<red>{2}件</red>進んだところに{3}があるらしい。<br>（地図を持って探索に向かうと、目的地にたどり着くことができる）<br>（目的地にたどり着くと地図は消費される）,<PLEASE_TRANSLATE>
map03,武器庫の地図,<PLEASE_TRANSLATE>,ぶきこのちず,<PLEASE_TRANSLATE>,「{0}」までの道のりが記された地図。<red>{1}</red>から出発して、<red>{2}件</red>進んだところに{3}があるらしい。<br>（地図を持って探索に向かうと、目的地にたどり着くことができる）<br>（目的地にたどり着くと地図は消費される）,<PLEASE_TRANSLATE>
map04,収容施設の地図,<PLEASE_TRANSLATE>,しゅうようしせつのちず,<PLEASE_TRANSLATE>,「{0}」までの道のりが記された地図。<red>{1}</red>から出発して、<red>{2}件</red>進んだところに{3}があるらしい。<br>（地図を持って探索に向かうと、目的地にたどり着くことができる）<br>（目的地にたどり着くと地図は消費される）,<PLEASE_TRANSLATE>
