id,_name<jpn>,name<eng>,_ruby<jpn>,ruby<eng>,_description<jpn>,description<eng>
biscuit00,乾パン,Hardtack,かんぱん,hardtack,保存用のビスケット。<br>使用すると空腹度を15回復。,Biscuits meant for long-term storage.<br>Restores 15 Hunger when used.
biscuit01,チョコレートバー,Chocolate bar,ちょこれーとばー,chocolate bar,保存用のチョコレート。<br>使用すると空腹度を15回復。,Chocolate meant for long-term storage.<br>Restores 15 Hunger when used.
biscuit02,ぶどう味のゼリー飲料,Grape jelly drink,ぶどうあじのぜりーいんりょう,grape jelly drink,飲むタイプのゼリー。無果汁。<br>使用すると空腹度を15回復。,A drinkable jelly. Contains no fruit juice.<br>Restores 15 Hunger when used.
-,,,,,,
gun00,ハンドガン,Handgun,はんどがん,handgun,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},
gun01,ショットガン,Shotgun,しょっとがん,shotgun,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},Ranged weapon. Equip and use. Cannot be used without the appropriate ammunition. Attack + {0} + {1}
gun03,ライフル,Rifle,らいふる,rifle,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},Ranged weapon. Equip and use. Cannot be used without the appropriate ammunition. Attack + {0} + {1}
gun04,サブマシンガン,Submachine gun,さぶましんがん,submachine gun,遠距離武器。装備して使う。専用の弾薬がなければ使えない。攻撃 + {0} + {1},Ranged weapon. Equip and use. Cannot be used without the appropriate ammunition. Attack + {0} + {1}
-,,,,,,
hammer00,金づち,Hammer,かなづり,hammer,近接武器。装備して使う。攻撃 + {0},Melee weapon. Equip and use. Attack + {0}
hammer01,クギバット,Nail bat,くぎばっと,nail bat,近接武器。装備して使う。攻撃 + {0} + {1},Melee weapon. Equip and use. Attack + {0} + {1}
hammer02,鉄パイプ,Iron pipe,てつぱいぷ,iron pipe,近接武器。装備して使う。攻撃 + {0} + {1},Melee weapon. Equip and use. Attack + {0} + {1}
hammer03,バール,Crowbar,ばーる,crowbar,近接武器。装備して使う。攻撃 + {0} + {1},Melee weapon. Equip and use. Attack + {0} + {1}
hammer04,ガラスの破片,Glass shard,がらすのはへん,glass shard,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。,Melee weapon. Equip and use. Attack + {0} + {1}<br>Awkward to use as-is， and it will break quickly. It might be more useful if combined with something.
hammer05,包丁,Kitchen knife,ほうちょう,kitchen knife,近接武器。装備して使う。攻撃 + {0}<br>このままでは使いづらいし、すぐに壊れてしまう。何かと組み合わせれば、もっと役に立つかも。,Melee weapon. Equip and use. Attack + {0} + {1}<br>Awkward to use as-is， and it will break quickly. It might be more useful if combined with something.
hammer06,お手製の槍,Handmade spear,おてせいのやり,handmade spear,近接武器。装備して使う。攻撃 + {0} + {1}<br>包丁と木の棒でつくった、お手製の槍。,Melee weapon. Equip and use. Attack + {0} + {1}<br>A homemade spear made from a kitchen knife and a wooden stick.
hammer07,穴のあいたフライパン,Perforated frying pan,あなのあいたふらいぱん,perforated frying pan,近接武器。装備して使う。攻撃 + {0} + {1}<br>穴があいてしまったフライパン。料理には使えないけれど、ちょうどいい重さで、武器になりそう。,Melee weapon. Equip and use. Attack + {0} + {1}<br>A frying pan with a hole in it. It can no longer be used for cooking， but its weight makes it seem suitable as a weapon.
hammer08,ゴルフクラブ,Golf club,ごるふくらぶ,golf club,近接武器。装備して使う。攻撃 + {0} + {1},Melee weapon. Equip and use. Attack + {0} + {1}
hammer09,お手製スラッパー,Handmade slapper,おてせいすらっぱー,handmade slapper,近接武器。装備して使う。攻撃 + {0} + {1}<br>先端に重りの入ったこん棒。,Melee weapon. Equip and use. Attack + {0} + {1}<br>A club with a weight attached to the end.
-,,,,,,
ammo00,ハンドガンの弾,Handgun ammo,はんどがんのたま,handgun ammo,「ハンドガン」で使う弾薬。,Ammunition used for handguns.
ammo01,ショットガンの弾,Shotgun ammo,しょっとがんのたま,shotgun ammo,「ショットガン」で使う弾薬。,Ammunition used for shotguns.
ammo02,ライフルの弾,Rifle ammo,らいふるのたま,rifle ammo,「ライフル」で使う弾薬。,Ammunition used for rifles.
ammo03,マガジン,Magazine,まがしん,magazine,「サブマシンガン」で使う弾薬。,Ammunition used for submachine guns.
-,,,,,,
armor00,軍手,Work gloves,ぐんて,work gloves,防具。装備して使う。防御 + {0} + {1},Armor. Equip and use. Defense + {0} + {1}
armor01,甲手,Kote,こて,kote,防具。装備して使う。防御 + {0} + {1},Armor. Equip and use. Defense + {0} + {1}
armor02,防弾ベスト,Bulletproof vest,ぼうだんべすと,bulletproof vest,防具。装備して使う。防御 + {0} + {1},Armor. Equip and use. Defense + {0} + {1}
armor100,サンタのワンピース,Santa's dress,さんたのわんぴーす,santa's dress,防具。装備して使う。防御 + {0}<br>サンタクロースをモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）,Armor. Equip and use. Defense + {0}<br>An outfit inspired by Santa Claus.<br>(Equipping it and going on an expedition will change the outfit shown.)
armor101,小悪魔なワンピース,Little devil dress,こあくまなわんぴーす,little devil dress,防具。装備して使う。防御 + {0}<br>小悪魔をモチーフにした衣装。<br>（装備して探索に行くと衣装が反映されます）,Armor. Equip and use. Defense + {0}<br>An outfit inspired by a little devil.<br>(Equipping it and going on an expedition will change the outfit shown.)
-,,,,,,
material00,木材,Lumber,もくざい,lumber,捨てられていた木材。何かの材料になるかも。,Discarded lumber. It might be useful as a material.
material01,鉄くず,Scrap metal,てつくず,scrap metal,捨てられていた鉄くず。何かの材料になるかも。,Discarded scrap metal. It might be useful as a material.
material02,布切れ,Cloth scrap,ぬのきれ,cloth scrap,捨てられていた布切れ。何かの材料になるかも。,A discarded scrap of cloth. It might be useful as a material.
material03,電子部品,Electronic components,でんしぶひん,electronic components,捨てられていた電子部品。何かの材料になるかも。,Discarded electronic components. They might be useful as materials.
material04,火薬,Gunpowder,かやく,gunpowder,乾いた火薬。弾薬の材料に使えるかもしれない。,Dry gunpowder. It might be usable as ammunition material.
material11,燃料油,Fuel oil,ねんりょうあぶら,fuel oil,よく燃える油。このままでは使いようがない。,Highly flammable oil. It cannot be used as-is.
material12,細い糸,Thin thread,ほそいいと,thin thread,少し絡まった細い糸。それなりの長さがある。<br>何かに使えるかも。,A slightly tangled thin thread of considerable length.<br>It might be useful for something.
material13,ロープ,Rope,ろーぷ,rope,頑丈なロープ。簡単には千切れない。<br>何かの材料になるかも。,A sturdy rope that will not tear easily.<br>It might be useful as a material.
-,,,,,,
cookingTool00,ダッチオーブン,Dutch oven,だっちおーぶん,dutch oven,蓋つきの分厚い鍋。ずいぶん使い込まれている。,A thick， lidded pot. It has seen a great deal of use.
cookingTool01,スキレット,Skillet,すきれっと,skillet,鋳鉄製の小さなフライパン。,A small cast-iron frying pan.
cookingTool02,ホットサンドメーカー,Sandwich toaster​ ,ほっとさんどめーかー,sandwich toaster​ ,フライパンを向かい合わせに重ねたような構造をした、ホットサンドをつくるための器具。,A device for making hot sandwiches， with a structure like two frying pans stacked face-to-face.
-,,,,,,
food00,塩蔵肉の缶詰,Canned salt-cured meat,えんぞうにくのかんづめ,canned salt-cured meat,塩漬けにした牛肉の缶詰。貴重なたんぱく源。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,A can of salt-cured beef. A valuable source of protein.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food01,コンソメの素,Clear soup stock,こんそめのもと,clear soup stock,固形タイプのコンソメスープの素。ちょっと湿気ている。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,Solid clear soup stock. It is slightly damp.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food02,米,Rice,こめ,rice,少し古くなった米。でもまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,Rice that has gotten a little old， but is still edible.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food03,たまご,Egg,たまご,egg,鶏の卵。たぶんまだ食べられる。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,A chicken egg. It is probably still edible.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food04,ハム,Ham,はむ,ham,燻製にした豚肉。独特の風味がある。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,Smoked pork with a distinctive flavor.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food05,玉ねぎ,Onion,玉ねぎ,onion,大きめの玉ねぎ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,A fairly large onion.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food06,ライ麦パン,Rye bread,らいむぎぱん,rye bread,ライ麦でつくられた黒パン。ちょっと固い。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,Dark bread made from rye. It is a little hard.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food07,小さな魚,Small fish,ちいさなさかな,small fish,小さな生魚。食べられそう。<br>使用すると空腹度を1回復するけれど、どうせなら調理してから食べたい。,A small raw fish. It looks edible.<br>Restores 1 Hunger when used， but it would be better to cook it first.
food08,スライスチーズ,Sliced cheese,すらいすちーず,sliced cheese,薄切りのチーズ。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,Thinly sliced cheese.<br>Restores 5 Hunger when used， but it would be better to cook it first.
food09,じゃがいも,Potato,じゃがいも,potato,まだ土のついた大きなじゃがいも。<br>使用すると空腹度を5回復するけれど、どうせなら調理してから食べたい。,A large potato still covered in dirt.<br>Restores 5 Hunger when used， but it would be better to cook it first.
-,,,,,,
bell00,空き缶,Empty can,あきかん,empty can,空っぽの缶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,An empty can. Throw it far away to attract attention， preventing an encounter in the current room.<br>Cannot be used during combat.
bell01,空き瓶,Empty bottle,あきびん,empty bottle,空っぽの瓶。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,An empty bottle. Throw it far away to attract attention， preventing an encounter in the current room.<br>Cannot be used during combat.
bell02,電子ブザー,Electronic buzzer,でんしぶざー,electronic buzzer,大きな音が鳴る電子ブザー。遠くに投げることで注意を引き、現在の部屋で会敵しなくなる。<br>ただし戦闘中は使用できない。,An electronic buzzer that makes a loud sound. Throw it far away to attract attention， preventing an encounter in the current room.<br>Cannot be used during combat.
film00,ポラロイドフィルム,Polaroid film,ぽらろいどふぃるむ,polaroid film,「ポラロイドカメラ」用のフィルム。,Film for a “Polaroid Camera”.
-,,,,,,
tool00,懐中電灯,Flashlight,かいちゅうでんとう,flashlight,道具。所持して特定のものを調べると、勝手に使ってくれる。<br>懐中電灯の明かりで<red>収納や棚など</red>を調べれば、<red>安全に</red>物資を探し出すことができる。,A tool. When you have it and examine certain objects， it will be used automatically.<br>Examine <red>storage areas， shelves， and similar places</red> with the flashlight to find supplies <red>safely</red>.
tool01,ドライバー,Screwdriver,どらいばー,screwdriver,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>ネジ</red>で絞められたものを調べると、今まで見つけられなかったものが見つかるかも。,A tool. When you have it and examine certain objects， it will be used automatically.<br>Examine objects fastened with <red>screws</red> to find things that could not be found before.
tool02,キーピック,Lockpick,きーぴっく,lockpick,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>机や台など</red>を調べると、引き出しに取りつけられた単純な鍵なら開けられる。,A tool. When you have it and examine certain objects， it will be used automatically.<br>Examine <red>desks， tables， and similar surfaces</red> to open simple locks attached to drawers.
tool03,釣り竿,Fishing rod,つりざお,fishing rod,道具。所持して特定のものを調べると、勝手に使ってくれる。<br><red>川辺や海辺など</red>を調べると、釣りをすることができる。,A tool. When you have it and examine certain objects， it will be used automatically.<br>Examine <red>riversides， seashores， and similar places</red> to go fishing.
attack00,火炎瓶,Molotov cocktail,かえんびん,molotov cocktail,油を染み込ませた布を入れた瓶。敵に20ダメージを与えることができる。,A bottle containing a cloth soaked in oil. It can deal 20 damage to an enemy.
attack01,手製爆弾,Homemade bomb,てせいばくだん,homemade bomb,火薬とガラス片からつくったお手製の爆弾。敵に20ダメージを与えることができる。,A homemade bomb made from gunpowder and glass shards. It can deal 20 damage to an enemy.
attack02,閃光発音筒,Flashbang tube,せんこうはつおんとう,flashbang tube,爆発音と閃光を放ち、一時的に敵を無力化する。<br>（戦闘中の敵の行動を一時的に止めることができる。また、敵の「溜め」を解放する）,Emits an explosive sound and a flash， temporarily incapacitating enemies.<br>(It can temporarily stop an enemy's actions during combat. It also releases an enemy's “charge”.)
camera00,ポラロイドカメラ,Polaroid camera,ぽらろいどかめら,polaroid camera,撮影するとすぐに現像されるインスタントカメラ。<br>「ポラロイドフィルム」があれば、遠くにある<red>キャンプ地</red>の写真を撮ることができる。,An instant camera that develops photos immediately after taking them.<br>If you have “Polaroid Film”， you can photograph a distant <red>campsite</red>.
dismantle00,分解キット,Disassembly kit,ぶんかいきっと,disassembly kit,道具を分解するための工具をまとめたキット。<br>道具を<red>クラフト前の材料</red>に戻すことができる。使用すると消費される。,A kit containing tools for dismantling equipment.<br>It can return equipment to <red>materials from before crafting</red>. It is consumed when used.
trap00,くくり罠,Snare trap,くくりわな,snare trap,ロープでつくった簡単な罠。<br>所持して探索に行くと、罠を設置して敵を排除できる。,A simple trap made from rope.<br>When you take it on an expedition， you can set the trap to eliminate an enemy.
trap01,まきびし,Caltrops,まきびし,caltrops,割れたガラスでつくったまきびし。<br>所持して探索に行くと、罠を設置して敵を排除できる。,Caltrops made from broken glass.<br>When you take them on an expedition， you can set the trap to eliminate an enemy.
craft00,携帯工作台,Portable workbench,けいたいこうさくだい,portable workbench,小さな工作台。簡易なものだけれど、材料さえあれば道具をつくることができる。<br>（探索中に、所持品から<red>道具</red>を<red>クラフト</red>することができます）,A small workbench. It is simple， but you can make tools as long as you have the materials.<br>(During an expedition， you can <red>craft</red> <red>tools</red> from items in your inventory.)
craft01,携帯調理器,Portable cooker,けいたいちょうりき,portable cooker,小さな調理台。簡易なものだけれど、材料さえあれば料理することができる。<br>（探索中に、所持品から<red>料理</red>を<red>クラフト</red>することができます）,A small cooking station. It is simple， but you can cook as long as you have the ingredients.<br>(During an expedition， you can <red>craft</red> <red>food</red> from items in your inventory.)
-,,,,,,
box00,食材の詰まった箱,Box of ingredients,しょくざいのつまったはこ,box of ingredients,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,A small package containing something. It has some weight to it， so there seems to be something inside.<br>Take it back to the storage shelf and open it.
box02,鉄の弾薬箱,Metal ammo box,てつのだんやくばこ,metal ammo box,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,A small package containing something. It has some weight to it， so there seems to be something inside.<br>Take it back to the storage shelf and open it.
box03,中身の見えない黒い袋,Opaque black bag,なかみのみえないおもいふくろ,opaque black bag,中身の入った小さな包み。それなりの重みがあって、何か入っていそう。<br>収納棚に持ち帰って、開けてみよう。,A small package containing something. It has some weight to it， so there seems to be something inside.<br>Take it back to the storage shelf and open it.
-,,,,,,
passCode00,数字の書かれたメモ,Note with numbers,すうじのかかれためも,note with numbers,「{0}」と書かれたメモ。,A note with “{0}” written on it.
postcard00,絵はがき,Postcard,えはがき,postcard,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）,A postcard depicting some scenery. It looks like it was painted with oil paints.<br>If you head for the depicted location， you might meet someone.<br>(Once the conditions are met， you can <red>use</red> it at the storage shelf.)
postcard100,カボチャの描かれた絵はがき,Pumpkin postcard,かぼちゃのかかれたえはがき,pumpkin postcard,どこかの風景が描かれた絵はがき。油絵具で描かれているみたい。<br>描かれている場所を目指したら、誰かに会えるかも。<br>（条件を満たすと、収納棚で<red>使う</red>ことができるようになります）,A postcard depicting some scenery. It looks like it was painted with oil paints.<br>If you head for the depicted location， you might meet someone.<br>(Once the conditions are met， you can <red>use</red> it at the storage shelf.)
-,,,,,,
music00,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music01,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music02,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music03,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music04,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music05,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music06,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music07,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music08,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
music09,カセットテープ,Cassette tape,かせっとてーぷ,cassette tape,古いカセットテープ。「<red>{0}</red>」が収録されているらしい。<br>（所持して探索すると、BGMが変更されます）<br>（「カセットテープ」を複数所持している場合は、ランダムに抽選されます）,An old cassette tape. It seems to contain “<red>{0}</red>”.<br>(Carrying it on an expedition changes the BGM.)<br>(If you carry multiple “Cassette Tapes”， one is selected at random.)
-,,,,,,
bag00,ショルダーバッグ,Shoulder bag,しょるだーばっぐ,shoulder bag,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,A bag for carrying belongings. While you have it， your item carrying limit increases by <red>{0} items</red>.<br>(Only one bag can provide its effect at a time.)
bag01,手づくりナップサック,Handmade backpack,てづくりなっぷさっく,handmade backpack,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,A bag for carrying belongings. While you have it， your item carrying limit increases by <red>{0} items</red>.<br>(Only one bag can provide its effect at a time.)
bag02,ボストンバッグ,Boston bag,ぼすとんばっぐ,boston bag,荷物を入れるかばん。もっていると荷物の所持上限が <red>{0}つ</red> 増える。<br>（かばんは、同時に1つまでしか効果を得られません）,A bag for carrying belongings. While you have it， your item carrying limit increases by <red>{0} items</red>.<br>(Only one bag can provide its effect at a time.)
-,,,,,,
