id,type,tags[],ratio,rarity,size,eventProbability,once,name<jpn>,keyword<jpn>,events[],interactTags[],interactEvents[],speak,image,describe<jpn>
object_tent02,campware,-,1,-1,1,0.5,true,a folding camping chair,camping chair,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,At the very least， there is no doubt someone was living here. <br>Where did they go， leaving everything behind?
object_tent03,campware,-,1,-1,2,0.5,true,a folded blue tarp,blue tarp,itemGet00/battle00/battle00,-,-,search,-,-
object_grassland00,campware,-,1,-1,1,0.5,true,the remains of a campfire,campfire,itemGetIdMaterial00/itemGetFood00/itemGetMaterial00,-,-,search,-,-
object_riverside01,campware,-,1,-1,2,0.5,true,a leisure sheet about to be blown away by the wind,leisure sheet,battle00/itemGetCookingTool00/itemGetGun01,-,-,search,-,-
object_beach02,campware,-,1,-1,2,0.5,true,a fallen beach umbrella,beach umbrella,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_beach03,campware,-,1,-1,3,0.5,true,a sunshade about to be blown away by the wind,sunshade,itemGet00/battle00/battle00,-,-,search,-,-
object_square00,civil,-,1,-1,2,0.5,true,a broken sign,broken sign,itemGetIdMaterial00/battle00/itemGetIdMaterial04,-,-,search,-,-
object_road00,civil,-,1,-1,2,0.5,true,a sandbags piled up to waist height,sandbags,itemGetMaterial00/battle00/check00,-,-,search,-,-
object_attractions02,civil,park,1,-1,2,0.5,true,a sun-faded information sign,information sign,battle00/itemGetHammer01/itemNotFound00,-,-,search,-,-
civil00,civil,-,1,-1,2,0.5,true,a ransacked street trash can,trash can,itemGetMaterial00/itemGetHammer01/battle00,-,-,search,-,
object_room09,clothes,-,1,-1,1,0.5,true,discarded clothes,clothes,itemGetIdMaterial12/itemGetIdMaterial02/itemNotFound00,-,-,search,-,-
clothes00,clothes,-,1,-1,1,0.5,true,a pile of clothes,pile of clothes,itemGetIdMaterial02/itemGetIdMaterial12/itemNotFound00,-,-,search,-,
clothes01,clothes,factory,1,-1,1,0.5,true,work clothes still folded up,work clothes,itemGetIdMaterial01/itemGetIdMaterial02/itemNotFound00,-,-,search,-,
clothes02,clothes,house,1,-1,1,0.5,true,a discarded dress,dress,itemGetIdMaterial12/itemGetFood00/itemNotFound00,-,-,search,-,
object02,container,-,1,-1,1,0.5,true,a wooden box covered with unreadable stickers,wooden box,itemGetFood00/itemGetAmmo00/check00,-,-,search,object05,-
object_warehouse00,container,antique,1,-1,2,0.5,true,a decaying barrel,barrel,itemGetFood00/itemGetIdMaterial00/itemGetHammer01,light,itemGetGun01,search,-,The lid of the barrel was open. <br>Whatever is inside is probably not what was originally stored in it.
object_hall01,container,antique,1,-1,1,0,false,a jewel box with a strange mechanism,jewel box,unlock02/unlock02/unlock02,-,-,search,-,-
object_shop00,container,-,1,-1,2,0.5,true,an unopened cardboard box,unopened cardboard box,itemGetFood00/itemGetAmmo00/itemGetMaterial00,-,-,search,object04,Whoever sealed it could never have imagined that it would be found like this. <br>It has been closed with great care.
object_office05,container,office,1,-1,1,0.5,true,a package with its seal cut open,package,itemGet00/itemGetFood00/itemGetAmmo00,-,-,search,-,The seal has been roughly cut open， but there is still something inside. <br>Before wondering what is in it， I find myself wondering who was supposed to receive it.
object_hall04,container,-,1,15,1,0.5,true,a large briefcase,briefcase,unlockPassCode00/unlockPassCode00/unlockPassCode00,-,-,search,-,-
object_grassland01,container,-,1,-1,2,0.5,true,an open plastic container,plastic container,itemGet00/itemGetIdMaterial00/itemGetHammer01,-,-,search,-,-
object_riverside00,container,camp,1,-1,1,0.5,true,a large bottle with an opaque contents,large bottle,itemGetMaterial00/battle00/itemNotFound00,-,-,search,-,-
object_riverside03,container,camp,1,-1,2,0.5,true,a large cooler,large cooler,itemGetFood00/itemGetCookingTool00/itemNotFound00,-,-,search,-,-
object_shore00,container,camp,1,-1,1,0.5,true,a bucket filled with water,bucket,itemNotFound00/itemNotFound00/itemGetMaterial00,-,-,search,-,-
object_library01,container,-,1,-1,2,0.5,true,a box made of sturdy fabric,box made of sturdy fabric,itemGetIdMaterial02/itemGetIdMaterial12/itemGetHammer01,-,-,search,-,-
object_carryIn02,container,shop,1,-1,3,0.5,true,stacked containers,stacked containers,itemGet00/battle00/itemGetBox00,-,-,search,-,-
object_carryIn03,container,shop,1,-1,3,0.5,true,a pile of large cardboard boxes,large cardboard box,itemGetAmmo00/itemGetFood00/itemGetIdMaterial04,-,-,search,-,-
container00,container,-,1,-1,2,0,false,a box with a pure white lid secured with screws,box with a pure white lid,itemNotFound00/itemNotFound00/itemNotFound00,driver,itemGetGun01,search,,
container01,container,hospital,1,-1,1,0.5,true,a cardboard box bearing a hospital logo,cardboard box,itemGetMedicine00/itemGetMedicine00/itemNotFound00,-,-,search,-,-
object01,document,-,1,-1,1,0.5,true,a stack of magazines,stack of magazines,itemGetIdMaterial00/itemGetMap00/battle00,-,-,search,object03,-
object_office01,document,-,1,-1,2,0.5,true,a collapsing pile of documents,pile of documents,itemNotFound00/itemGetMap00/itemGetMap00,-,-,search,-,The stacked pile of documents had collapsed miserably. <br>There may still be feet to trample them， but there are no hands left to put them away.
document00,document,-,1,-1,1,0.5,true,tied bundles of old newspapers,old newspapers,itemNotFound00/itemGetDocument00/itemGetMap00,-,-,search,-,-
document01,document,-,1,-1,1,0.5,true,neatly stacked hardcover novels,hardcover novels,itemNotFound00/itemGetMap00/itemGetMap00,-,-,search,,
object_room11,electric,-,1,-1,2,0.5,true,a television with a cracked screen,television,itemGetHammer01/battle00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_staffRoom04,electric,house,1,-1,2,0.5,true,a large old-fashioned television,old-fashioned television,itemGetAmmo00/battle00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_guestRoom03,electric,kitchen,1,-1,2,0.5,true,a small cooler box,cooler box,itemGetFood00/itemGetFood00/itemNotFound00,-,-,search,-,-
object_corridor03,electric,-,1,-1,1,0.5,true,a telephone that looks impossible to connect,telephone,itemGetIdAttack02/itemGetTool00/itemNotFound00,driver,itemGetIdMaterial03,search,-,-
object_office03,electric,-,1,-1,2,0.5,true,old computers smashed and piled together,old computers,itemGetIdMaterial03/itemGetIdMaterial03/battle00,-,-,search,-,-
object_tent04,electric,camp,1,-1,2,0.5,true,a small stove with its charcoal burned out,small stove,itemGetMedicine00/check00/itemNotFound00,-,-,search,-,-
object_garden02,exterior,house,1,-1,2,0.5,true,a rotting bench that can no longer be sat on,bench,itemGet00/battle00/check00,-,-,search,-,-
object_garden03,exterior,house,1,-1,3,0.5,true,a wooden deck lightly covered with soil,wooden deck,battle00/itemGetFood00/check00,-,-,search,-,-
object_riverside02,exterior,-,1,-1,1,0.5,true,a clothesline with clothes hanging from it,clothesline,itemNotFound00/itemGetArmor00/itemGetArmor00,-,-,search,-,-
object_garden01,field,-,1,-1,3,0.5,true,a field overgrown with greenery,field,battle00/itemGetHammer00/itemGetHammer00,-,-,search,-,I wonder if whatever was planted here was simply allowed to grow freely. The old field has been swallowed up by greenery.
object_grassland02,field,camp,1,-1,3,0.5,true,a hole someone dug,hole,battle00/itemGet00/itemGetIdMaterial00,light,itemGetGun01,search,-,Who dug this， and for what purpose? <br>There is something strangely frightening about looking down into a hole.
field00,field,-,1,-1,3,0.5,true,a dried-up rice paddy,rice paddy,itemGet00/battle00/battle00,-,-,search,,
field01,field,-,1,-1,3,0.5,true,traces of something buried,something buried,battle00/itemGet00/itemGet00,-,-,search,,
object_kitchen04,food,-,1,-1,1,0.5,true,food that has rotted and hardened,food,itemNotFound00/itemGetFood00/itemGetFood00,-,-,search,-,How long would it take for food to become like this? <br>I find myself thinking about how long six months really is.
food00,food,-,1,-1,1,0.5,true,rotten soup in a dish,rotten soup,itemNotFound00/itemGetFood00/itemNotFound00,-,-,search,,
food01,food,-,1,-1,1,0.5,true,a covered iron pot,iron pot,itemGetCookingTool00/itemGetFood00/itemGetFood00,-,-,search,,
food02,food,camp,1,-1,1,0.5,true,the remains of a fish that was cooked and left behind,fish,itemGetCookingTool00/itemGetFood00/itemNotFound00,-,-,search,,
object_room00,furniture,-,1,-1,2,0.5,true,a stopped grandfather clock,grandfather clock,battle00/itemGetArmor00/itemGetArmor00,driver,itemGetAmmo00,search,-,I wonder how long it has been here， and how long its hands have been stopped. <br>The motionless pendulum behind the glass has an oddly oppressive presence.
object_room02,furniture,-,1,-1,2,0.5,true,a broken wooden desk,wooden desk,itemGetCookingTool00/itemGetFood00/battle00,keyPick,itemGetGun01,search,object06,-
object_room04,furniture,-,1,-1,2,0.5,true,a leather sofa,sofa,itemGet00/battle00/itemNotFound00,-,-,search,object07,-
object_room07,furniture,-,1,-1,3,0.5,true,yellowed curtains swaying in the wind,curtains,itemGetArmor00/battle00/check00,-,-,search,-,-
object_room08,furniture,-,1,-1,2,0.5,true,a simple bed torn apart,simple bed,itemGetMedicine00/battle00/check00,-,-,search,object08,-
object_staffRoom01,furniture,office,1,-1,2,0.5,true,stacked pipe chairs,pipe chairs,itemNotFound00/itemGetMaterial00/itemNotFound00,-,-,search,-,-
object_guestRoom00,furniture,house,1,-1,3,0.5,true,a pristine white bed that was never used,white bed,itemGet00/battle00/itemNotFound00,-,-,search,-,-
object_guestRoom02,furniture,-,1,-1,1,0.5,true,a single-seat sofa facing the window,single-seat sofa,itemGetMedicine00/battle00/check00,-,-,search,-,I wonder if a view of the city at night could once be seen beyond the window. <br>During the day， all I can see is an ordinary cityscape stretching out before me.
object_corridor00,furniture,-,1,-1,2,0.5,true,a wall clock with the hands stopped,wall clock,itemGetAmmo00/itemNotFound00/itemNotFound00,-,-,search,-,-
object_corridor02,furniture,-,1,-1,2,0.5,true,a large broken full-length mirror,full-length mirror,hide00/hide00/hide00,-,-,search,-,-
object_hall03,furniture,luxury,1,-1,3,0.5,true,a frayed crimson carpet,carpet,itemGet00/battle00/accident00,-,-,search,-,-
object_library00,furniture,-,1,-1,2,0.5,true,a round table,round table,itemGetCookingTool00/battle00/itemGetFood00,-,-,search,-,-
object00,garbage,-,1,-1,2,0.5,true,shattered glass piled together,glass,itemGetIdHammer04/itemGetIdHammer04/itemNotFound00,-,-,search,-,-
object_kitchen01,garbage,kitchen,1,-1,1,0.5,true,kitchen waste that has become half-liquid,kitchen waste,battle00/itemGet00/itemGetFood00,-,-,search,-,-
object_shop01,garbage,-,1,-1,2,0.5,true,piled-up black garbage bags,black garbage,itemGet00/accident00/itemGetIdMaterial12,-,-,search,-,A huge number of garbage bags with unknown contents had been piled up. <br>I can only hope they are not simply packed full of organic waste.
object_shore01,garbage,sea,1,-1,2,0.5,true,a damp garbage bag,garbage bag,itemGetFood00/itemGetCookingTool00/itemNotFound00,-,-,search,-,-
garbage00,garbage,-,1,-1,2,0.5,true,a battered dismantled cabinet,dismantled cabinet,itemGetMaterial00/battle00/check00,,,search,-,
garbage01,garbage,-,1,-1,2,0.5,true,a broken generator,generator,itemGetIdMaterial01/battle00/itemGetIdMaterial01,,,search,-,
garbage02,garbage,-,1,-1,2,0.5,true,a broken electric fan,electric fan,itemGetIdMaterial01/itemGetIdMaterial01/itemGetIdMaterial01,,,search,-,
object_room10,instrument,-,1,-1,1,0.5,true,a broken guitar,guitar,itemGetMaterial00/accident00/itemGetIdMaterial04,-,-,search,object02,I thought it was a guitar， but its neck had been broken off. <br>In a place like this， I cannot even hear the sound of an instrument.
instrument00,instrument,luxury,1,-1,2,0.5,true,a dust-covered grand piano,grand piano,itemGetIdHammer00/battle00/accident00,-,-,search,-,
instrument01,instrument,-,1,-1,2,0.5,true,a polished upright piano,upright piano,itemGetMaterial00/itemGetIdHammer00/check00,-,-,search,-,
instrument02,instrument,-,1,-1,1,0.5,true,a drum with a broken cymbal,drum,itemGetIdMaterial00/itemGetMaterial00/accident00,-,-,search,-,
object_kitchen00,kitchenware,-,1,-1,2,0,false,a cutting board left out,cutting board,selectionItemCook00/selectionItemCook00/selectionItemCook00,-,-,search,-,A spotless white cutting board had been left out on the table. <br>Someone must have taken it out to prepare a meal. Then， what happened?
object_kitchen02,kitchenware,-,1,-1,1,0.5,true,a rusted sink,sink,itemGetIdHammer05/itemGetFood00/itemGetFood00,-,-,search,-,-
object_kitchen03,kitchenware,-,1,-1,3,0.5,true,a refrigerator with an unpleasant smell,refrigerator,itemGetFood00/battle00/battle00,-,-,search,-,-
object_beach01,kitchenware,camp,1,-1,1,0,false,a barbecue grill with whitened charcoal still inside,barbecue grill,selectionItemCook00/selectionItemCook00/selectionItemCook00,-,-,search,-,-
object_tent00,light,camp,1,-1,1,0.5,true,a lantern that doesn't look like it will light up,lantern,itemGetIdMaterial11/itemGetIdMaterial11/itemNotFound00,-,-,search,-,-
object_hall00,light,luxury,1,-1,2,0.5,true,a magnificent chandelier,chandelier,itemNotFound00/itemGetMaterial00/itemNotFound00,-,-,search,-,The chandelier shines forlornly in the light coming through the windows.
light00,light,house,1,-1,1,0.5,true,a pure white floor lamp,floor lamp,itemGetIdMaterial00/itemGetIdMaterial00/itemNotFound00,-,-,search,-,
light01,light,house,1,-1,1,0.5,true,a table lamp,table lamp,itemGetMaterial00/itemGetMaterial00/itemNotFound00,-,-,search,-,
object_machineRoom00,machine,factory,1,-1,3,0.5,true,a lathe with a block of iron left on it,lathe,itemGetIdMaterial01/battle00/itemNotFound00,-,-,search,-,-
object_machineRoom01,machine,factory,1,-1,3,0.5,true,an empty conveyor belt,conveyor belt,itemGet00/battle00/itemNotFound00,-,-,search,-,Why do motionless machines look so lonely? <br>The thought that they will never be used again somehow makes my chest tighten.
object_machineRoom02,machine,factory,1,-1,2,0.5,true,a rusted cutting machine,cutting machine,itemGetMap00/itemGetIdMaterial01/itemNotFound00,-,-,search,-,-
object_road03,nature,-,1,-1,2,0.5,true,lush greenery,lush,itemGet00/battle00/itemGetIdMaterial00,-,-,search,-,-
object_shore03,nature,sea,1,-1,3,0.5,true,a rocky area with clothes hung out to dry,rocky area,itemGet00/battle00/itemNotFound00,-,-,search,-,-
nature00,nature,-,1,-1,4,0.5,true,a small grove of mixed trees,grove,itemGet00/battle00/itemGet00,-,-,search,-,
nature01,nature,-,1,-1,3,0.5,true,a rock hollow covered in moss,rock hollow,itemGet00/battle00/itemGet00,-,-,search,-,
officeSupply00,officeSupply,-,1,-1,2,0.5,true,a cluttered aluminum desk,aluminum desk,battle00/itemGetMaterial00/accident00,keyPick,itemGet00,search,-,
officeSupply01,officeSupply,-,1,-1,2,0.5,true,a lockable cabinet wagon,cabinet wagon,itemGetTool00/itemGetMaterial00/itemGetTool00,keyPick,itemGet00,search,-,
officeSupply02,officeSupply,-,1,-1,2,0.5,true,an old-fashioned printer,printer,itemGetDocument00/battle00/itemNotFound00,keyPick,itemGet00,search,-,
officeSupply03,officeSupply,-,1,-1,2,0.5,true,a metal document shelf,document shelf,itemGetDocument00/battle00/itemGetDocument00,keyPick,itemGet00,search,-,
object_room05,picture,house,1,-1,1,0.5,true,a family photograph in a broken frame,family photograph,itemGetMaterial00/itemGetMedicine00/itemNotFound00,-,-,search,-,A framed family photograph had fallen over. <br>It had become terribly dirty. I looked away because I did not want to see the faces in it.
object_corridor04,picture,-,1,-1,1,0.5,true,a small framed landscape painting,landscape painting,itemGetDocument00/battle00/accident00,-,-,search,-,-
object_hall02,picture,luxury,1,-1,1,0.5,true,an old-fashioned painting,painting,itemGetDocument00/battle00/itemNotFound00,-,-,search,-,Who could the person in the painting be? <br>There is no one left here to ask who it is.
picture00,picture,-,1,-1,1,0.5,true,a portrait of a young woman,portrait,itemGetDocument00/itemNotFound00/accident00,-,-,search,-,
picture01,picture,-,1,-1,1,0.5,true,a painting of the midsummer sea,painting of the midsummer sea,itemGetDocument00/itemNotFound00/accident00,-,-,search,-,
object_staffRoom03,planter,-,1,-1,2,0.5,true,a withered houseplant,houseplant,itemNotFound00/itemGetAmmo00/itemNotFound00,-,-,search,-,Most of the leaves had withered brown. <br>I wonder if those leaves， too， will eventually fall.
object_garden00,planter,-,1,-1,1,0.5,true,a cracked potted plant,potted plant,itemGetMedicine00/battle00/itemNotFound00,-,-,search,-,-
planter00,planter,-,1,-1,1,0.5,true,a planter with withered flowers,planter,itemNotFound00/accident00/itemNotFound00,-,-,search,-,
planter01,planter,-,1,-1,1,0.5,true,a potted cactus,cactus,itemNotFound00/accident00/itemNotFound00,-,-,search,-,
river00,river,-,1,-1,4,0,false,a clear river,clear river,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
river01,river,-,1,-1,4,0,false,a shallow river,shallow river,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
river02,river,-,1,-1,4,0,false,a slightly murky water surface,murky water,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing01,search,-,-
river03,river,-,1,-1,4,0,false,a quiet river with a visible riverbed,quiet river,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
river04,river,-,1,-1,4,0,false,a calm water surface reflecting the blue sky,calm water,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
object_shop02,room,-,1,-1,3,0.5,true,a collapsed wall with a hole in it,collapsed wall,itemGetAmmo00/check00/battle00,-,-,search,-,What happened here? The wall has collapsed. <br>I cannot help thinking that until just six months ago， there must have been an ordinary everyday life here too.
object_machineRoom03,room,factory,1,-1,3,0,false,a sealed door with an electronic lock,sealed door,unlock01/unlock01/unlock01,-,-,search,-,-
room00,room,-,1,-1,3,0.5,true,a dark hole in the floor,dark hole,itemGet00/battle00/battle00,light,itemGet00,search,-,
room01,room,-,1,-1,3,0.5,true,a dark corner of the room,dark corner,itemGet00/battle00/check00,light,itemGet00,search,-,
school00,school,-,1,-1,2,0.5,true,a rusted school desk,school desk,itemGetDocument00/itemGetTool00/itemNotFound00,-,-,search,-,
school01,school,-,1,-1,2,0.5,true,a teacher's desk covered in dust,teacher's desk,itemGetDocument00/itemGetTool00/itemNotFound00,-,-,search,-,
school02,school,-,1,-1,3,0.5,true,a blackboard with equations still written on it,blackboard,itemNotFound00/itemNotFound00/battle00,-,-,search,-,
school03,school,-,1,-1,2,0.5,true,an aluminum teacher's desk,aluminum teacher's desk,itemGet00/itemGetMaterial00/accident00,keyPick,itemGet00,search,-,
school04,school,-,1,-1,2,0.5,true,an empty wooden locker,wooden locker,itemGetTool00/itemGetMaterial00/accident00,-,-,search,-,
sea00,sea,-,1,-1,1,0,false,a calm seaside,calm seaside,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
sea01,sea,-,1,-1,1,0,false,a reef where waves break,reef,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,-
sea02,sea,-,1,-1,1,0,false,a sea surface covered with foam,sea surface,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing01,search,-,-
sea03,sea,-,1,-1,1,0,false,a seawall facing the sea,seawall,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
sea04,sea,-,1,-1,1,0,false,a clear seaside with a visible seabed,clear seaside,fishingAvailable00/fishingAvailable00/fishingAvailable00,fishing,fishing00,search,-,
object_room03,security,house,1,-1,2,0,false,a rusted safe,safe,unlock00/unlock00/unlock00,-,-,search,-,-
object_warehouse01,security,antique,1,-1,2,0,false,a rusted combination lock,combination lock,unlock03/unlock03/unlock03,-,-,search,-,-
object_office02,security,shop,1,-1,2,0,false,a safe that looks exceptionally sturdy,sturdy safe,unlock05/unlock05/unlock05,-,-,search,-,-
object_office04,security,office,1,-1,2,0,false,an electronic safe with its indicator lamp still lit,electronic safe,unlock01/unlock01/unlock01,-,-,search,-,-
object_warehouse02,shelf,antique,1,-1,3,0.5,true,a wardrobe covered in cobwebs,wardrobe,battle00/itemGet00/itemGet00,light,itemGet00,search,-,-
object_warehouse03,shelf,-,1,-1,3,0.5,true,a shelf filled with unidentified chemicals,shelf filled,itemGetMedicine00/battle00/itemGet00,light,itemGet00,search,-,
object_shop03,shelf,shop,1,-1,3,0.5,true,a merchandise shelf filled with thrown-in garbage,merchandise shelf,itemGetFood00/battle00/battle00,light,itemGet00,search,-,-
object_gallery00,shelf,gallery,1,-1,2,0.5,true,the shelf beneath an open display stand,shelf beneath,itemGet00/itemGetDocument00/itemNotFound00,light,itemGet00,search,-,There are some strange， unfamiliar objects placed on the display stand. <br>No matter how much historical value they may have， in a world like this， no one would even look at them.
object_gallery03,shelf,gallery,1,-1,2,0.5,true,a cabinet behind the display stand with a key still inserted,cabinet behind,itemGetArmor00/itemGetFood00/itemGetMaterial00,light,itemGet00,search,-,-
shelf00,shelf,hospital,1,-1,2,0.5,true,an organized chemical shelf,chemical shelf,itemGetMedicine00/itemGetMedicine00/battle00,light,itemGet00,search,-,-
shelf01,shelf,hospital,1,-1,2,0.5,true,a shelf of medicines left with its doors open,shelf of medicines,itemGetMedicine00/itemGetMedicine00/battle00,light,itemGet00,search,-,-
object_square03,shopmachine,-,1,-1,2,0.5,true,a vending machine with no power,vending machine,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_square04,shopmachine,-,1,-1,2,0.5,true,a phone booth with shattered glass,phone booth,battle00/itemNotFound00/itemGetGun01,-,-,search,-,-
shopmachine00,shopmachine,-,1,-1,2,0.5,true,a graffiti-covered photo booth,photo booth,itemGetArmor00/battle00/itemGetGun01,-,-,search,-,
shopmachine01,shopmachine,-,1,-1,2,0.5,true,a sand-covered capsule toy machine,toy machine,itemGetIdMaterial01/itemNotFound00/itemGetAmmo00,driver,itemGetAmmo00,search,-,
object_attractions00,shopmachine,park,1,-1,2,0.5,true,a ticket vending machine that no longer works,ticket vending machine,itemNotFound00/battle00/itemNotFound00,-,-,search,-,Putting money in would not make anything come out. <br>The smile of the character printed on it feels painfully empty.
object_staffRoom00,stationery,-,1,-1,1,0.5,true,a ring binder full of documents,ring binder,itemGetAmmo00/itemGetMap00/itemNotFound00,-,-,search,-,-
stationery00,stationery,-,1,-1,1,0.5,true,a pen holder packed full of pens,pen holder,itemGetMaterial00/itemGetAmmo00/itemNotFound00,-,-,search,-,
stationery01,stationery,-,1,-1,1,0.5,true,a document case piled with papers,document case,itemGetAmmo00/itemGetMap00/itemNotFound00,-,-,search,-,
stationery02,stationery,-,1,-1,1,0.5,true,several notebooks propped up against each other,several notebooks,itemGetMap00/itemNotFound00/itemGetMap00,-,-,search,-,
object_corridor01,statue,-,1,-1,2,0,false,a statue of an angel missing its ring finger,statue of an angel,unlock04/unlock04/unlock04,-,-,search,-,The plaster angel statue was missing its ring finger. <br>It was not broken; it looked as though the finger had been deliberately removed.
object_square01,statue,-,1,-1,2,0.5,true,a fallen statue of a goddess,statue of a goddess,itemGetAmmo00/battle00/itemNotFound00,-,-,search,-,-
object_attractions01,statue,park,1,-1,2,0.5,true,a statue of an unidentified character,unidentified character,itemGetArmor00/itemNotFound00/itemNotFound00,-,-,search,-,-
statue00,statue,-,1,-1,2,0.5,true,a taxidermied prehistoric beast,taxidermied prehistoric beast,itemNotFound00/itemGetAmmo00/itemGetAmmo00,-,-,search,-,
object_strangeSound00,strangeSound,-,1,-1,1,0,true,the sound of a car engine,car engine,speakInaudible00,-,-,-,-,-
object_strangeSound01,strangeSound,-,1,-1,1,0,true,the sound of dripping water,dripping water,speakInaudible00,-,-,-,-,-
object_strangeSound02,strangeSound,-,1,-1,1,0,true,the sound of an empty can rolling in the wind,empty can,speakInaudible00,-,-,-,-,-
object_strangeSound03,strangeSound,-,1,-1,1,0,true,the sound of pages turning,pages turning,speakInaudible00,-,-,-,-,-
object_strangeSound04,strangeSound,-,1,-1,1,0,true,a sound like the second hand of a clock,second hand,speakInaudible00,-,-,-,-,-
object_strangeSound05,strangeSound,-,1,-1,1,0,true,the resonance of guitar strings,resonance of guitar,speakInaudible00,-,-,-,-,-
object_room01,storage,-,1,-1,3,0.5,true,an unusually tall storage cabinet,storage cabinet,battle00/itemGet00/battle00,light,itemGet00,search,-,It was an unusually tall storage cabinet. <br>Even though it is just a large box， it has an unpleasantly imposing presence.
object_room06,storage,house,1,-1,3,0.5,true,a closet packed with clothes,closet packed,hide00/hide00/hide00,light,itemGet00,search,-,-
object_hutRoom03,storage,antique,1,-1,1,0.5,true,a hemp sack hanging from the ceiling,hemp sack,itemGetFood00/battle00/itemGetGun01,-,-,search,-,-
object_staffRoom02,storage,office,1,-1,2,0.5,true,a battered aluminum locker,aluminum locker,battle00/itemGet00/itemGetFood00,light,itemGet00,search,-,-
object_guestRoom01,storage,house,1,-1,2,0.5,true,a half-open closet,half-open closet,battle00/itemGetMedicine00/itemNotFound00,light,itemGet00,search,-,-
object_bath03,storage,-,1,-1,2,0.5,true,a cabinet covered in cobwebs,cabinet covered,itemGetCookingTool00/accident00/itemGet00,light,itemGet00,search,-,-
object_gallery01,storage,gallery,1,-1,3,0.5,true,the back of a ransacked storage area,storage area,battle00/itemGetMap00/itemNotFound00,light,itemGet00,search,-,-
object_gallery02,storage,gallery,1,-1,3,0.5,true,an unlocked underfloor storage space,underfloor storage,itemGetMaterial00/battle00/itemNotFound00,light,itemGet00,search,-,-
