id,priority,stage,count,text<jpn>
object_riverside00,0,riverside,2,{0} and {1} have been left behind in the clear air. <br>But there is no sign of anyone.
object_riverside01,0,riverside,2,The sound of the stream is refreshing， but {0} and {1} felt somehow eerie.
object_beach00,0,beach,2,Through the sound of the rippling waves， I could see {0} and {1}. <br>Driftwood and other things cast loose from someone's hands have been left behind.
object_beach01,0,beach,2,{0} and {1} stand there amid the scent of the sea.
object_shore00,0,shore,1,Could it be high tide? <br>{0} has been left behind alongside the sound of the waves.
object_shore01,0,shore,1,I found {0}. It sways gently in the calm sea breeze.
object_library00,0,library,2,{0} and {1} have been left behind among the books. <br>After all， someone must have been here too.
object_library01,0,library,2,{0} and {1} have been left behind amid the strong smell of books.
object_machineRoom00,0,machineRoom,3,How long have {0}， {1}， and {2} been left there? <br>The larger the room， the stronger the emptiness of the things left behind seems to feel.
object_machineRoom01,0,machineRoom,3,They neither move nor are carried away by anyone. <br>{0}， {1}， and {2} are quietly waiting to decay here.
object_carryIn00,0,carryIn,4,{0}， {1}， {2}， {3}...... Were they once brought here? <br>Dust has settled over them， and they will never be taken out again.
object_carryIn01,0,carryIn,4,Perhaps this was never meant to be their final destination; they were probably supposed to be carried somewhere else. <br>{0}， {1}， {2}， and {3} are all cast in a shadow of melancholy.
object_parking00,0,parking,3,Things have been left here and there across the large parking lot. <br>{0}， {1}， {2}...... quietly enduring the sunlight， rain， and wind.
object_parking01,0,parking,3,In a parking lot this hot， it would not be strange for there to be no one around. <br>And yet...... {0}， {1}， {2}...... why do they seem so terribly lonely?
object_gallery00,0,gallery,2,{0} and {1} have been left scattered about. <br>I could feel that there had been chaos here too.
object_gallery01,0,gallery,2,It is so quiet that I cannot help imagining that {0} and {1} might suddenly start moving.
object_attractions00,0,attractions,2,{0} and {1}， left beside the vehicles， have an eerie stillness about them. <br>Even a place like this can no longer remain as it once was.
object_attractions01,0,attractions,2,Even though the liveliness is gone， {0} and {1} are still here. <br>The sight of them standing there all alone is profoundly desolate.
object_hospitalRoom00,0,hospitalRoom,3,The smell of chemicals still lingers. <br>The odor may have seeped into {0}， {1}， and {2} as well.
object_hospitalRoom00,0,hospitalRoom,3,{0}， {1}， and {2} have been left behind in the tense atmosphere. <br>Just looking at them makes it difficult to breathe.
object_classroom00,0,classroom,2,{0} and {1} have been left behind amid the distinctive smell of a classroom.
object_classroom01,0,classroom,2,A fresh breeze enters through the open window. <br>{0} and {1} are being gently brushed by the breeze in the corner of the classroom.
object_underpass00,0,underpass,3,{0}， {1}， and {2} have been left at the side of the road that seems to stretch endlessly into the distance.
object_underpass01,0,underpass,3,If I shine a light beyond the darkness， I can find {0}， {1}， {2}...... all sorts of things. <br>Will they spend the rest of their days here without ever seeing the sun?
object_dining00,0,dining,2,I found {0} and {1} beneath the table.
object_dining01,0,dining,2,{0} and {1}...... No one is left， yet so many things remain just as they were.
object_marble00,0,marble,2,If I listen carefully， I feel as though I can hear {0} and {1}.
object_marble01,0,marble,2,{0}， {1}...... Could I really have just heard them， or am I imagining it?
object_marble02,0,marble,2,I heard {0}. And {1}， too. If it wasn't just my imagination.
object_marble03,0,marble,2,Everything starts to feel like an illusion. {0} and {1}...... I feel like I just heard them， but...
-,,,,
