id,_text<jpn>,text<eng>
garden01,壁を這う蔓が、開け放たれたままの窓から家の中に入っていた。<br>家の中がどんな風になっているか、少しだけ気になる。,Vines crawling along the wall have made their way inside through a window left wide open.<br>I can't help but wonder， just a little， what the inside of the house looks like now.
machineRoom00,何に使う機械だろう。<br>眺めていたってもちろんわからない。<br>もしかしたら、使い方のわかる人はもう世界中のどこにもいないかもしれない、とそんなことを思った。,I wonder what this machine was used for.<br>Of course， simply looking at it won't tell me.<br>It makes me wonder if there might not be a single person left anywhere in the world who knows how to use it.
machineRoom01,これから何に加工される予定だったのだろう。<br>ゴムや鉄の板がそこら中で伸びている。,I wonder what these were supposed to be made into.<br>Sheets of rubber and iron are spread out everywhere.
carryIn00,物流は止まってしまった。<br>それだけでも、今までの暮らしがまったく成り立たない。<br>もう二度と運び出されることのないコンテナを見ていると、どうしようもない絶望感に襲われる。,Logistics have come to a halt.<br>Even that alone is enough to make the way people used to live completely impossible.<br>Looking at the containers that will never be shipped out again fills me with a hopeless sense of despair.
carryIn01,トラックに積まれて荷物がやってくるところ。<br>もちろん今は何か運ばれることはないけれど、搬入口なんて普段見ることはないから、ちょっとわくわくする。,This is where goods would arrive， loaded onto trucks.<br>Of course， nothing is being transported now， but I rarely get to see a loading entrance like this， so somehow it's a little exciting.
parking00,人々は車を使って逃げようとしたのだろうか。<br>渋滞が起きたり、途中で燃料が尽きることを見越して、車は避けただろうか。<br>今となっては、残されたものたちから想像するしかない。,I wonder if people tried to escape by car.<br>Would they have avoided using cars， knowing there might be traffic jams or that they could run out of fuel along the way?<br>Now， all I can do is imagine what happened from the things left behind.
parking01,アスファルトだって日差しで溶けそうになる。<br>見上げる空の青さが目に刺さる。,Even asphalt seems like it could melt under the sunlight.<br>The blue of the sky above is almost painful to look at.
gallery00,どんなに価値のあるものでも、もう見向きもされないだろう。<br>過去の遺物は今を生き残るのに役に立たない。<br>いろんなものが失われていくのだと思う。,No matter how valuable something may be， no one is likely to pay it any attention anymore.<br>Relics of the past are of no use when it comes to surviving the present.<br>I suppose all kinds of things are simply being lost.
gallery01,扉から差す光を受けて、動物の標本が大きな影をつくる。<br>生き物のかたちをしたものには、なんであれ身構えてしまう。,An animal specimen casts a large shadow in the light coming through the door.<br>Anything shaped like a living creature makes me instinctively tense up.
attractions00,再びこういうものを楽しめるようになる日は来るのだろうか。<br>そんなの、今はまったく想像することができない。,I wonder if the day will ever come when people can enjoy things like this again.<br>Right now， I can't imagine such a thing at all.
attractions01,青い空にジェットコースターの影が映える。<br>首が痛くなるまで見上げてみて、それだけでなんだか楽しくなる。,The shadow of a roller coaster stands out against the blue sky.<br>I look up until my neck starts to hurt， and somehow， just doing that makes me feel happy.
-,,
